Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,35,15,1592,17.7,7,3,10,6,1,1,4,0,0.4,0.17,0.57,0.34,0.51,la_liga,2023-2024
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,la_liga,2023-2024
69,Daley Blind,nl NED,DF,Girona,33,1990,34,33,2972,33.0,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,la_liga,2023-2024
70,Adri Bosch,es ESP,DF,Granada,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,0.21,0.11,0.32,0.21,0.32,la_liga,2023-2024
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
74,Brau,es ESP,DF,Granada,21,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
76,Ben Brereton,cl CHI,"MF,FW",Villarreal,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,0.63,0.07,0.7,0.52,0.59,la_liga,2023-2024
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,4,1,117,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,25,7,803,8.9,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,la_liga,2023-2024
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.0,0.1,0.1,0.0,0.1,la_liga,2023-2024
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,31,20,1661,18.5,3,1,4,3,0,0,3,0,0.16,0.05,0.22,0.16,0.22,la_liga,2023-2024
83,José Campaña,es ESP,MF,Las Palmas,30,1993,8,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
84,João Cancelo,pt POR,DF,Barcelona,29,1994,32,29,2503,27.8,2,4,6,2,0,0,7,0,0.07,0.14,0.22,0.07,0.22,la_liga,2023-2024
85,Sergi Canós,es ESP,MF,Valencia,26,1997,27,15,1229,13.7,1,2,3,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,la_liga,2023-2024
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,32,15,1455,16.2,1,1,2,1,0,0,8,0,0.06,0.06,0.12,0.06,0.12,la_liga,2023-2024
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,26,6,737,8.2,4,1,5,3,1,1,4,0,0.49,0.12,0.61,0.37,0.49,la_liga,2023-2024
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,35,30,2814,31.3,1,2,3,1,0,0,11,0,0.03,0.06,0.1,0.03,0.1,la_liga,2023-2024
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,17,15,1328,14.8,1,2,3,1,0,0,3,0,0.07,0.14,0.2,0.07,0.2,la_liga,2023-2024
92,Carmona,es ESP,"MF,DF",Getafe,21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,la_liga,2023-2024
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.0,0.41,0.41,0.0,0.41,la_liga,2023-2024
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,28,25,2171,24.1,4,3,7,4,0,0,5,1,0.17,0.12,0.29,0.17,0.29,la_liga,2023-2024
96,William Carvalho,pt POR,MF,Real Betis,31,1992,22,4,680,7.6,1,3,4,1,0,0,2,0,0.13,0.4,0.53,0.13,0.53,la_liga,2023-2024
97,Marc Casado,es ESP,MF,Barcelona,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
98,Catena,es ESP,DF,Osasuna,28,1994,30,28,2534,28.2,1,3,4,1,0,0,8,1,0.04,0.11,0.14,0.04,0.14,la_liga,2023-2024
99,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,20,5,598,6.6,0,2,2,0,0,0,2,0,0.0,0.3,0.3,0.0,0.3,la_liga,2023-2024
100,Álex Centelles,es ESP,DF,Almería,25,1997,14,11,980,10.9,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,la_liga,2023-2024
101,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,29,1994,17,5,546,6.1,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,la_liga,2023-2024
102,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,25,1998,22,12,1167,13.0,1,1,2,1,0,0,6,1,0.08,0.08,0.15,0.08,0.15,la_liga,2023-2024
103,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,30,27,1979,22.0,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,la_liga,2023-2024
104,Chumi,es ESP,DF,Almería,24,1999,31,26,2434,27.0,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,la_liga,2023-2024
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,22,22,1864,20.7,0,1,1,0,0,0,3,2,0.0,0.05,0.05,0.0,0.05,la_liga,2023-2024
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,31,16,1664,18.5,1,0,1,1,0,0,10,0,0.05,0.0,0.05,0.05,0.05,la_liga,2023-2024
107,Silvi Clúa,es ESP,MF,Girona,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,30,26,2295,25.5,1,0,1,1,0,0,6,1,0.04,0.0,0.04,0.04,0.04,la_liga,2023-2024
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,27,20,1653,18.4,2,0,2,2,0,0,8,2,0.11,0.0,0.11,0.11,0.11,la_liga,2023-2024
110,Copete,es ESP,DF,Mallorca,23,1999,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.07,0.07,0.14,0.07,0.14,la_liga,2023-2024
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,17,10,910,10.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
112,Theo Corbeanu,ca CAN,MF,Granada,21,2002,9,2,182,2.0,1,0,1,1,0,0,2,0,0.49,0.0,0.49,0.49,0.49,la_liga,2023-2024
113,Jesús Corona,mx MEX,"DF,FW",Sevilla,30,1993,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
114,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,32,14,1528,17.0,9,2,11,9,0,0,3,0,0.53,0.12,0.65,0.53,0.65,la_liga,2023-2024
115,Thierry Correia,pt POR,DF,Valencia,24,1999,31,25,2154,23.9,0,2,2,0,0,0,4,1,0.0,0.08,0.08,0.0,0.08,la_liga,2023-2024
116,Jaume Costa,es ESP,"DF,MF",Mallorca,35,1988,30,19,1682,18.7,0,1,1,0,0,0,7,0,0.0,0.05,0.05,0.0,0.05,la_liga,2023-2024
117,Samu Costa,pt POR,MF,Mallorca,22,2000,34,26,2303,25.6,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,la_liga,2023-2024
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,4,4,332,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
119,Yan Couto,br BRA,"MF,DF",Girona,21,2002,34,24,2245,24.9,1,8,9,1,0,0,8,0,0.04,0.32,0.36,0.04,0.36,la_liga,2023-2024
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,15,4,527,5.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
121,Cristian,es ESP,GK,Valencia,25,1998,1,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,26,18,1667,18.5,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,la_liga,2023-2024
123,Juan Cruz,es ESP,MF,Real Betis,23,2000,5,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,29,21,1963,21.8,3,1,4,3,0,0,7,0,0.14,0.05,0.18,0.14,0.18,la_liga,2023-2024
127,Eric Curbelo,es ESP,DF,Las Palmas,29,1994,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
128,Alberto Dadie,es ESP,FW,Real Sociedad,21,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,36,21,2157,24.0,2,5,7,2,0,0,4,0,0.08,0.21,0.29,0.08,0.29,la_liga,2023-2024
130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,34,25,2075,23.1,3,5,8,3,0,0,7,0,0.13,0.22,0.35,0.13,0.35,la_liga,2023-2024
131,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,26,1996,14,12,1073,11.9,1,0,1,1,0,0,6,0,0.08,0.0,0.08,0.08,0.08,la_liga,2023-2024
132,Moussa Diakité,ml MLI,MF,Cádiz,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
133,Assane Diao,sn SEN,MF,Real Betis,17,2005,18,13,1048,11.6,2,0,2,2,0,0,4,0,0.17,0.0,0.17,0.17,0.17,la_liga,2023-2024
134,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,23,1999,31,18,1545,17.2,8,6,14,8,0,0,0,0,0.47,0.35,0.82,0.47,0.82,la_liga,2023-2024
135,Víctor Díaz,es ESP,DF,Granada,35,1988,4,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
136,Famara Diedhiou,sn SEN,FW,Granada,30,1992,8,0,89,1.0,0,1,1,0,0,0,1,0,0.0,1.01,1.01,0.0,1.01,la_liga,2023-2024
137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
138,Djené,tg TOG,"DF,MF",Getafe,31,1991,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
139,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
140,Jaume Doménech,es ESP,GK,Valencia,32,1990,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
141,Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
142,Mario Dominguez,es ESP,MF,Valencia,19,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
143,Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,17,7,708,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,0.7,0.1,0.8,0.7,0.8,la_liga,2023-2024
145,Artem Dovbyk,ua UKR,FW,Girona,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,0.83,0.28,1.11,0.59,0.87,la_liga,2023-2024
146,Domingos Duarte,pt POR,DF,Getafe,28,1995,15,11,907,10.1,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
147,Rubén Duarte,es ESP,DF,Alavés,27,1995,28,21,1878,20.9,2,1,3,2,0,0,7,0,0.1,0.05,0.14,0.1,0.14,la_liga,2023-2024
148,Hugo Duro,es ESP,FW,Valencia,23,1999,37,35,2976,33.1,13,2,15,13,0,0,4,0,0.39,0.06,0.45,0.39,0.45,la_liga,2023-2024
149,Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994,15,7,812,9.0,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,la_liga,2023-2024
150,Adri Embarba,es ESP,"MF,FW",Almería,31,1992,36,29,2476,27.5,3,2,5,2,1,1,5,0,0.11,0.07,0.18,0.07,0.15,la_liga,2023-2024
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,0.56,0.07,0.63,0.53,0.6,la_liga,2023-2024
152,Gonzalo Escalante,ar ARG,MF,Cádiz,30,1993,25,18,1697,18.9,1,2,3,1,0,0,2,1,0.05,0.11,0.16,0.05,0.16,la_liga,2023-2024
